No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
9739,豪华版船只拼装模型,物品/道具 Items/Props,,卡厄斯羁遇等级道具,,Deluxe Ship Model Kit,,Confirmed,豪華な船の模型キット,,Confirmed,고급 선박 조립 모형,,Confirmed,Deluxe-Schiff-Modell-Kit,Kit de maquette de vaisseau deluxe,Kit de modelo de barco deluxe,Премиальный набор: модель корабля,,,,,
9740,游梦洄廊,1.1版本名,,,,Dreamwalk Corridor,,Confirmed,夢巡る回廊,,Confirmed,꿈의 회랑,,Revised,Traumwandelkorridor,Le couloir des songes,Sendero Onírico,Коридор сноходца,,,,,
9741,自动巡航,系统/玩法 System/Gameplay,,为保证鉴定师出行安全，当开启自动巡航功能时，将限速在安全车速,,Auto-Drive,,Confirmed,自動運転,,,자율 주행,,Revised,Autopilot,Conduite automatique,Conducción automática,Автопилот,,,,,
9742,罪业,技能 Skills,Gender-neutral,,,Heavy Karma,,Confirmed,カルマ,,Revised,죄업,,Confirmed,Schweres Karma,Karma lourd,Karma pesado,Тяжёлая карма,,,,,
9743,罪状,,,,,Crime,,Confirmed,ギルト,,Revised,죄목,,Revised,Verbrechen,Crime,Crimen,Преступление,,,,,
9744,罪业清偿,,,,,Retribution,,Confirmed,カルマ・パージ,,Revised,죄업 청산,,Confirmed,Vergeltung,Châtiment,Retribución,Возмездие,,,,,
9745,追缉许可,,,,,Warrant,,Confirmed,追撃指令,,Revised,추격 허가,,Confirmed,Haftbefehl,Mandat,Orden judicial,Уровень розыска,,,,,
9746,追猎特刊,,,,,Pursuit Special,,Revised,追猟特別号,,Confirmed,사냥꾼 특간,,Confirmed,Jagd-Spezialausgabe,Spécial Poursuite,Persecución Especial,Особый фонд Погони,,,,,
9747,载具同乘,,,,,Ride-Along,,Confirmed,相乗り,,Confirmed,탈것 동승,,Confirmed,Mitfahrer,Monter côté passager,Viaje compartido,Совместная поездка,,,,,
9748,房屋入住,,,,,Move-In,,Confirmed,ルームシェア,,Confirmed,집 입주,,Confirmed,Einziehen,Emménager,Mudanza,Переезд,,,,,
9749,健身邀约,,,,,Workout Invites,,Confirmed,レッツ・ワークアウト,,Confirmed,헬스 초대,,Confirmed,Fitness-Einladung,Invitations à s'entraîner,Invitaciones de entrenamiento,Приглашения на тренировку,,,,,
9750,保时捷公寓,「保时捷公寓」会配有健身房，在此还将开放「健身邀约」等全新内容,,,,Porsche Apartments,,Confirmed,Porscheレジデンス,,Revised,포르쉐 아파트,,Confirmed,Porsche-Apartments,Appartements Porsche,Apartamentos Porsche,Апартаменты Porsche,,,,,
9751,过奖果酱,,,,,Praise Jam,,Confirmed,ジャムポイント,,Confirmed,좋아요잼,,Revised,Lob-Gelee,Louangelée,Mermelada de elogios,Хвалебный джем,,,,,
9752,格斗俱乐部,,,,,Fight Club,,Confirmed,ファイトクラブ,,Confirmed,「파이트 클럽」,,Revised,Kampfklub,Fight Club,Club de combate,Бойцовский клуб,,,,,
9753,指虎,,,,,Brass Knuckles,,Confirmed,ナックルダスター,,Confirmed,너클,,Confirmed,Schlagring,Poing américain,Nudillos de bronce,Кастеты,,,,,
9754,耐久,赛车玩法相关,,,,Durability,,Confirmed,耐久度,,Confirmed,내구성,,Confirmed,Haltbarkeit,Durabilité,Durabilidad,Прочность,,,,,
9755,暗黑赛车界,,,,,Underground Circuit,,Confirmed,暗黒レーシング,,Confirmed,무법 레이싱,,Confirmed,Schattenrennen,Course de l’Ombre,Carrera sombría,Подпольная петля,,,,,
9756,武器盒子,物品/道具 Items/Props,Gender-neutral,,,Weapon Crate,,Revised,武器ボックス,,Confirmed,무기상자,,Confirmed,Waffenkiste,Caisse de l’arme,Caja de armas,Ящик с оружием,,,,,
9757,呼叫支援,物品/道具 Items/Props,Gender-neutral,,,Fire Support,,Revised,支援要請,,Confirmed,화력 지원,,Revised,Feuerunterstützung,Soutien tactique,Solicitar apoyo,Огневая поддержка,,,,,
9758,轮胎道具,,,,,Tire Repairs,,Confirmed,タイヤアイテム,,Confirmed,타이어 아이템,,Confirmed,Reifenreparatur,Réparations de pneus,Reparación de llantas,Ремкомплекты для шин,,,,,
9759,云异环,,,,,NTE · Cloud Edition,,Confirmed,クラウドNTE: Neverness to Everness,,Confirmed,이환 클라우드 버전,,Revised,NTE · Cloud Edition,NTE · édition Cloud,NTE · Cloud Edition,Облачная версия NTE Cloud Edition,,,,,
9760,旋风帮,世界观 Worldbuilding,Gender-neutral,,,Tornado Gang,,Confirmed,トルネーズ,,Confirmed,토네이도파,,Revised,Tornado-Gang,Gang des tornades,Banda Tornado,Банда «Торнадо»,,,,,
9761,海特洛特别礼包,,,,,Hethereau Special Gift Pack,,Confirmed,ヘテロシティ特別ギフトパック,,Confirmed,헤테로 스페셜 패키지,,Revised,Hethereau-Spezialpaket,Pack cadeau spécial Hethereau,Paquete de regalo especial de Hethereau,Специальный подарочный набор Этеро,,,,,
9762,剧情概述,,,当选择跳过剧情后，将出现「剧情概述」避免鉴定师错过部分重要信息,,Story Recap,,Confirmed,ストーリー概要,,,스토리 요약,,Confirmed,Story-Zusammenfassung,Résumé de l’histoire,Resumen de la historia,Краткий пересказ сюжета,,,,,
9763,格赫罗斯,,,,,,,,グーへロス,,Confirmed,게흐로스,,Confirmed,,,,,,,,,
9764,社畜房间,地点/场所 Location/Place,/,,,,,,社畜の部屋,,Confirmed,,,,,,,,,,,,
9765,国王房间,地点/场所 Location/Place,/,,,,,,王様の部屋,,Confirmed,,,,,,,,,,,,
9766,蚊子房间,地点/场所 Location/Place,/,,,,,,蚊の部屋,,Confirmed,,,,,,,,,,,,
9767,诺诺斯房间,地点/场所 Location/Place,/,,,,,,ノノスの部屋,,Confirmed,,,,,,,,,,,,
9768,扭扭房间,地点/场所 Location/Place,/,,,,,,ニョロニョロの部屋,,Confirmed,,,,,,,,,,,,
9769,棉绒绒房间,地点/场所 Location/Place,/,,,,,,モフモフの部屋,,Confirmed,,,,,,,,,,,,
9770,大壮,,,,,,,,ハルク,,Confirmed,장군이,,Confirmed,,,,,,,,,
9771,亚历山大二十二世了,角色名称 Character Name,,猫名字,,,,,アレキサンダー22世,,Confirmed,,,,,,,,,,,,
9772,窝兹基曲德鱼,,,,,,,,オレガツッタ魚,,Confirmed,내두몰루어,,Confirmed,,,,,,,,,
9773,家庭套票,物品/道具 Items/Props,/,,,,,,ファミリーチケット,,Confirmed,,,,,,,,,,,,
9774,射钉枪,,,,,,,,ネイルガン,,Confirmed,네일건,,Confirmed,,,,,,,,,
9775,旋转木马,物品/道具 Items/Props,/,,,,,,メリーゴーランド,,Confirmed,,,,,,,,,,,,
9776,芝士肉塔饼,物品/道具 Items/Props,/,,,,,,チーズミートパイ,,Confirmed,,,,,,,,,,,,
9777,异能者海盗团,组织 Organization,/,,,,,,異能海賊団,,Confirmed,,,,,,,,,,,,
9778,大懒龙,称呼 Title/Nickname,/,真红,,,,,怠惰竜,,Confirmed,,,,,,,,,,,,
9779,侦探龙,称呼 Title/Nickname,/,真红,,,,,探偵竜,,Confirmed,,,,,,,,,,,,
9780,懒鬼龙,称呼 Title/Nickname,/,真红,,,,,ぐうたら竜,,Confirmed,,,,,,,,,,,,
9781,会致幻的琥珀湖,地点/场所 Location/Place,/,Glossary No.9517「致幻的琥珀糖湖」（シュガーレイク）の原文表記ゆれ,,,,,シュガーレイク,,Confirmed,,,,Sirupsee der Illusionen,Lac des mirages au sirop d’ambre,Lago de Jarabe de Ámbar Ilusorio,Иллюзорное озеро янтарного сиропа,,,,,
9782,跳跳糖,物品/道具 Items/Props,/,,,,,,パチパチキャンディ,,Confirmed,,,,,,,,,,,,
9783,蛋黄酱,物品/道具 Items/Props,/,,,,,,マヨネーズ,,Confirmed,,,,,,,,,,,,
9784,黑椒酱,物品/道具 Items/Props,/,,,,,,ペッパーソース,,Confirmed,,,,,,,,,,,,
9785,芥末酱,物品/道具 Items/Props,/,,,,,,マスタード,,Confirmed,,,,,,,,,,,,
9786,监测站,物品/道具 Items/Props,/,,,,,,観測ターミナル,,Confirmed,,,,,,,,,,,,
9787,维特海默值监测球,物品/道具 Items/Props,/,,,,,,ヴェルテハイモー球,,Confirmed,,,,,,,,,,,,
9788,卜多力 千代婆婆,"称呼 Title/Nickname, 角色名称 Character Name",,,,granny_chiyo_of_budoriya,,Confirmed,,,,타코리 치요 할머니,,Confirmed,Omi_Chiyo_Budoriya,Mamie_Chiyo_Budoriya,Abue_Chiyo_Budoriya,Бабуля_Чиё_Будория,,,,,
9789,Floraison de montagne集山忘野,角色名称 Character Name,,呗果发帖人,,FloraisonDeMontagne_HillsideBlooms,,Confirmed,Floraison de montagne忘野生花店,,Confirmed,,,,FloraisonDeMontagne_Hügelland-Blüten,FloraisonDeMontagne_BeautéChampêtre,FloraciónDeMontaña_FloresDeLadera,FloraisonDeMontagne_Цветы на склоне,,,,,
9790,饭团团团团团,"称呼 Title/Nickname, 角色名称 Character Name",,,,onigiriririri,,Confirmed,おにぎりぃ,,Confirmed,주먹바아아아압,,Confirmed,onigiriririri,onigiriririri,onigiriririri,онигириририри,,,,,
9791,畅爽refresh,"称呼 Title/Nickname, 角色名称 Character Name",,,,Refresh_Refresh,,Confirmed,スカッとRefresh,,Confirmed,리프레시,,Revised,Refresh_Refresh,Rafraîchissement_Rafraîchissement,Actualizar_Actualizar,Обновить_Обновить,,,,,
9792,PPB粉爪银行,"称呼 Title/Nickname, 角色名称 Character Name",,,,PPB Pink Paws Bank,,Confirmed,PPBにくきゅう銀行,,Confirmed,PPB 핑크퍼스 은행,,Confirmed,BRP Bank der rosa Pfötchen,BPR Banque des pattes roses,PPB Banco Pink Paws,Банк «Розовые лапки»(PPB),,,,,
9793,飞驰人生,"称呼 Title/Nickname, 角色名称 Character Name",,,,fastlane_rpm,,Confirmed,疾走人生,,Confirmed,질주 라이프,,Revised,überholspur_drehzahl,voie_rapide_tours_par_minute,carril_rápido_rpm,газ_в_пол,,,,,
9794,只是路过的普通人,"称呼 Title/Nickname, 角色名称 Character Name",,,,iamjustapasserby,,Confirmed,ただの通りすがり,,Confirmed,길가던사람,,Revised,ichbinnureinpassant,jesuisjusteunpassant,solountranseúnte,простопрохожий,,,,,
9795,有猫要的两脚兽,"称呼 Title/Nickname, 角色名称 Character Name",,,,adoptedbycats,,Revised,猫まっしぐらな二本足の獣,,Confirmed,간택 받은 집사,,Confirmed,vonKatzenadoptiert,adoptéparleschats,adoptadoporgatos,усыновлёнкотиками,,,,,
9796,暗夜血瞳,"称呼 Title/Nickname, 角色名称 Character Name",,,,MidnightCrimsonEyes,,Confirmed,暗夜の血瞳,,Confirmed,암혈의 눈동자,,Revised,KarmesinroteMitternachtsaugen,YeuxCramoisisDeMinuit,OjosCarmesíNocturnos,БагровыеГлазаПолуночи,,,,,
9797,海特洛一人食bot,"称呼 Title/Nickname, 角色名称 Character Name",,,,hethereau_eats_alone,,Confirmed,ヘテロシティお一人様bot,,Confirmed,헤테로 혼밥봇,,Confirmed,hethereau_isst_allein,hethereau_mange_seul,hethereau_come_solo,этеро_ест_в_одиночку,,,,,
9798,白日梦游家,"称呼 Title/Nickname, 角色名称 Character Name",,,,Daydream Drifter,,Confirmed,デイドリーマー,,Confirmed,백일몽 여행자,,Confirmed,Tagtraumbummler,Vagabond des rêveries,Errante de ensueño,Странник грёз,,,,,
9799,都市映像,,,,,,,,シティムービー,,,도시 영상,,Confirmed,,,,,,,,,
9800,异能专利局,,,,,,,,異能特許局,,,,,,,,,,,,,,
9801,天骏公阁,,,,,Pegasus Residence,,Confirmed,レジスCREST,,Confirmed,페가수스 레지던스,,Revised,Pegasus-Residenz,La résidence Pégase,Residencia Pegasus,резиденция «Пегас»,,,,,
9802,赛道极夜,,,暗黑赛车界玩家称号,,Polar Night Racer,,Confirmed,サーキットの白夜,,Confirmed,칠흑의 트랙,,Confirmed,Polarnacht-Rennfahrer,Pilote de la nuit polaire,Corredor de la noche polar,Гонщик полярной ночи,,,,,
9803,旧忆挽歌,物品/道具 Items/Props,Gender-neutral,,,Yesterday's Melody,,Confirmed,ゴシック・エレジー,,Confirmed,추억의 멜로디,,Confirmed,Die Melodie von gestern,Mélodie d’hier,Melodía de ayer,Вчерашняя мелодия,,,,,
9804,黑白童谣,物品/道具 Items/Props,Gender-neutral,,,Piano Key Sonatina,,Confirmed,白黒メルヘン,,Confirmed,흑백 소나타,,Confirmed,Sonatine für Klaviertasten,Sonatine des touches du piano,Sonatina de teclas de piano,Сонатина фортепианных клавиш,,,,,
9805,鎏金交响诗,物品/道具 Items/Props,Gender-neutral,,,Gilded Rhapsody,,Confirmed,デビルズ・ビート,,Confirmed,금빛 교향시,,Confirmed,Vergoldete Rhapsodie,Rhapsodie dorée,Rapsodia dorada,Позолоченная рапсодия,,,,,
9806,保持锻炼,,,时装名称,,Never Skip,,Confirmed,ワークアウト,,Confirmed,피트니스 타임,,Confirmed,Nie überspringen,Restez actif,Sigue entrenando,Не пропускать,,,,,
9807,最佳拍档,物品/道具 Items/Props,Gender-neutral,,,Perfect Partners,,Confirmed,プライム・パートナー,,Confirmed,환상의 콤비,,Confirmed,Perfekte Partner,Partenaires parfaits,Dúo perfecto,Идеальный дуэт,,,,,
9808,争锋赏宴,,,"挑战多个boss、难度可由玩家自行设定的挑战玩法；选择给怪物附加不同的BUFF后击败，获得奖励；

在强者之路上，我们需要更多的难题。",,Hunter's Crucible,,Confirmed,バトル・バンケット,,Confirmed,시련의 연회,,Revised,Jägers Schmelztiegel,Forge du chasseur,Crisol del cazador,Горнило охотника,,,,,
9809,放晴日,,,时装名称,,Clear Skies,,Confirmed,サニーデイズ,,Confirmed,화창한 하루,,Confirmed,Klarer Himmel,Ciel dégagé,Cielos despejados,Чистое небо,,,,,
9810,众人追寻之物,物品/道具 Items/Props,/,弧盤,,What's Desired,,Confirmed,オムニ・デザイア,,Confirmed,만인의 갈망,,Confirmed,Was verlangt wird,Ce qui est désiré,Lo que todos buscan,Заветное желание,,,,,
9811,「洞察与真相」礼盒,,,,,The Truthseeker's Pack,,Revised,真実と深淵の箱,,Confirmed,「통찰과 진실」 패키지,,Confirmed,Wahrheitssuche-Paket,Pack « Chercheur de vérité »,Paquete de la Cazadora de la verdad,Набор «Искательница истины»,,,,,
9812,保时捷 918 Spyder,,,,,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,Porsche 918 Spyder,Porsche 918 Spyder,Porsche 918 Spyder,,,,,
9813,热帖烘焙中,,,呗果系统开放活动,,What's Baking,,Confirmed,ホットに焙煎中,,Confirmed,인기글 굽는 중,,Revised,Heiße Beiträge in Arbeit,Ça mijote,¿Qué se está horneando?,Что выпекается?,,,,,
9814,十三日梦醒,,,安魂曲卡池配套活动，需要在大世界中根据提示，寻找安魂曲以完成任务获得奖励,,The Long Dream,,Confirmed,十三日目の目覚め,,Confirmed,13일간의 단잠,,Revised,Der lange Traum,Le long rêve,El largo sueño,Затянувшееся сновидение,,,,,
9815,向阳游记,,,1.1主线新区域向阳岛指引活动,,Sunward Travelogue,,Confirmed,日向旅行記,,Confirmed,해오름섬 여행기,,Revised,Sunward-Reiseprotokoll,Carnet de voyage Solaire,Bitácora de Solardiente,Записи о путешествиях по «Солнцевороту»,,,,,
9816,格斗争霸赛,,,监狱PVP+PVE常驻活动,,Fight Championship,,Confirmed,ファイト頂上決戦,,Confirmed,파이트 토너먼트,,Confirmed,Kampfmeisterschaft,Tournoi de combat,Campeonato de lucha,Чемпионат по борьбе,,,,,
9817,隔绝,其他 Other,,,,Isolation,,Confirmed,,,,격리,,Confirmed,Isolation,Isolation,Aislamiento,Изоляция,,,,,
9818,最后的春天,剧情 Storyline,,,,,,,最後の春,,Confirmed,마지막 봄,,Confirmed,,,,,,,,,
9819,机械人生,剧情 Storyline,,,,,,,機械の人生,,Confirmed,기계적인 인생,,Revised,,,,,,,,,
9820,鱼腥乐园,剧情 Storyline,,,,,,,生臭い楽園,,Confirmed,비린내 나는 낙원,,Confirmed,,,,,,,,,
9821,包包蚊的理想国,剧情 Storyline,,,,,,,テサゲ蚊の理想郷,,Confirmed,파우치 모기의 이상향,,Confirmed,,,,,,,,,
9822,女孩与花园,剧情 Storyline,,,,,,,少女と花園,,Revised,소녀와 정원,,Confirmed,,,,,,,,,
9823,成长与告别,剧情 Storyline,,,,,,,成長と別れ,,Confirmed,성장과 작별,,Confirmed,,,,,,,,,
9824,空游无所依,剧情 Storyline,,,,,,,儚き泡沫,,Confirmed,정처 없는 유영,,Confirmed,,,,,,,,,
9825,龙骑士,,,真红的「龙骑士」时装,,Dragon Knight,,Confirmed,竜騎士,りゅうきし,Confirmed,용기사,,Confirmed,Drachenritter,Chevaleresse-dragon,Caballera dragón,Рыцарь-дракон,,,,,
9826,磨蹭龙,称呼 Title/Nickname,/,真红,,,,,愚図竜,,Confirmed,,,,,,,,,,,,
9827,星辰灰,其他 Other,,,,,,,メテオグレー,,Revised,스타 그레이,,Confirmed,,,,,,,,,
9828,炫彩白,其他 Other,,,,,,,パールホワイト,,Revised,펄 화이트,,Confirmed,,,,,,,,,
9829,深岩黑,其他 Other,,,,,,,ファントムブラック,,Revised,옵시디언 블랙,,Confirmed,,,,,,,,,
9830,驶向未来之路,其他 Other,/,雷加利亚标语,,,,,未来へ走りだせ,,Confirmed,,,,,,,,,,,,
9831,Q版,其他 Other,/,,,,,,ミニキャラ,,Confirmed,,,,,,,,,,,,
9832,金枪鱼饭团,物品/道具 Items/Props,,,,,,,ツナおにぎり,,Confirmed,참치 주먹밥,,Confirmed,,,,,,,,,
9833,多汁嫩鸡腿肉饭团,物品/道具 Items/Props,,,,,,,若鶏の照り焼きおにぎり,,Confirmed,육즙 촉촉 닭다리살 주먹밥,,Confirmed,,,,,,,,,
9834,海特洛异闻录,物品/道具 Items/Props,/,书名,,,,,ヘテロシティ異聞録,,Confirmed,,,,,,,,,,,,
9835,粉爪限定祥瑞纳宝拉冬金条,物品/道具 Items/Props,/,,,,,,にくきゅう限定-財運招福ラードーン金塊,,Confirmed,,,,,,,,,,,,
9836,紫罗兰,其他 Other,,,,,,,ストック,,Confirmed,스톡꽃,,Revised,,,,,,,,,
9837,白百合,其他 Other,,,,,,,白百合,,Confirmed,흰 백합,,Confirmed,,,,,,,,,
9838,蝴蝶兰,其他 Other,,,,,,,胡蝶蘭,,Confirmed,호접란,,Confirmed,,,,,,,,,
9839,绿铃草,其他 Other,,,,,,,グリーンスケール,,Confirmed,다닥냉이,,Revised,,,,,,,,,
9840,尤加利叶,其他 Other,,,,,,,ユーカリの葉,,Confirmed,유칼립투스 잎,,Confirmed,,,,,,,,,
9841,蜂蜜芥末滋滋脆皮炸鸡腿,物品/道具 Items/Props,/,咔叽玛新出的,,,,,サクサクハニマスチキン,,Revised,,,,,,,,,,,,
9842,胖达秘制匠心牛油火锅,物品/道具 Items/Props,,,,,,,匠のパンダ秘伝・牛脂火鍋,,Confirmed,판다 특제 소기름 훠궈,,Revised,,,,,,,,,
9843,亚克力立牌,其他 Other,,,,,,,アクリルスタンド,,Confirmed,아크릴 스탠드,,Confirmed,,,,,,,,,
9844,千里莺啼,物品/道具 Items/Props,/,,,Nightingale's Crescendo,,Confirmed,福告鳥,,Confirmed,노래하는 꾀꼬리,,Confirmed,Crescendo der Nachtigall,Crescendo du Rossignol,Crescendo de la ruiseñora,Крещендо Соловушки,,,,,
9845,白日梦礼遇,,,时装福利,,Daydream Perks,,Confirmed,微睡みギフト,,Confirmed,단꿈 특전,,Confirmed,Tagtraum-Vorteile,Avantages de Rêverie,Beneficios de ensueño,Бонусы грёз,,,,,
9846,好柿成双,,,滑翔翼，番茄形状外观,,Tomato Duo,,Confirmed,ハッピートマト,,Confirmed,토마토 듀오,,Confirmed,Tomaten-Duo,Duo de tomates,Dúo tomate,Томатный дуэт,,,,,
9847,环期赠礼,,,版本更新同开的7日签到奖励，每天送一抽,,Circle Gifts,,Confirmed,7Daysボーナス,,Confirmed,시즌 선물,,Confirmed,Rundkurs-Geschenke,Cadeaux du Cercle,Regalos del Círculo,Подарки Круга,,,,,
9848,迷雾追踪,,,高危委托名，对应boss是桀桀熊,,Mist Pursuit,,Confirmed,迷霧ごっこ,,Confirmed,안개 속 추격,,Confirmed,Nebel-Verfolgung,Poursuite brumeuse,Persecución en la niebla,Погоня в тумане,,,,,
9849,918,物品/道具 Items/Props,Gender-neutral,,,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,,Confirmed,,,,,,,,,
9850,保时捷 918,物品/道具 Items/Props,Gender-neutral,,,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,,Confirmed,Porsche 918 Spyder,Porsche 918 Spyder,Porsche 918 Spyder,Porsche 918 Spyder,,,,,
9851,黑暗赛车界,系统/玩法 System/Gameplay,Gender-neutral,,,Underground Circuit,,Revised,暗黒レーシング,,Confirmed,무법 레이싱,,Confirmed,Schattenrennen,Course de l’Ombre,Carrera sombría,Подпольная петля,,,,,
9852,闲趣时光,其他 Other,,发行侧，角色印象的平面内标题,,Leisure Time,,Revised,オフタイム,,Confirmed,힐링 타임,,Confirmed,Hobbys,Hobbies,Aficiones,Хобби,,,,,
9853,异能者犯罪集团,,,,,,,,異能者犯罪グループ,,Confirmed,,,,,,,,,,,,
9854,安安,称呼 Title/Nickname,/,安魂曲与哈尼娅网络通信时，哈尼娅给安魂曲的称呼,,Lala,,Confirmed,レクっち,,Confirmed,라라,,Confirmed,Lala,Lala,Lala,Лала,,,,,
9855,笨猫,称呼 Title/Nickname,/,,,dumcat,,Confirmed,バカ猫,,Confirmed,멍청한 고양이,,Confirmed,Dummkatze,stupide matou,gata tonta,дурёха-кошка,,,,,
9856,开心果,物品/道具 Items/Props,/,呗果商店可兑换头像道具名称,,Yaygel,,Confirmed,ピスタチオ,,Confirmed,해피 베이글,,Confirmed,Juhu-Gel,Youpigel,Yaygel,Ура-бейгл,,,,,
9857,破局,技能 Skills,/,卡厄斯的普通攻击,,Overturn,,Confirmed,フェイタル,,Revised,파국,,Confirmed,Umsturz,Renversement,Revertir,Переворот,,,,,
9858,恶名往复,技能 Skills,/,卡厄斯技能相关,,Dread Echo,,Confirmed,カルマ・エコー,,Revised,악명의 굴레,,Confirmed,Echo der Furcht,Écho de l’effroi,Eco del terror,Эхо ужаса,,,,,
9859,裁断,技能 Skills,/,卡厄斯的普通攻击,,Final Verdict,,Confirmed,ジャッジメント,,Revised,재단,,Confirmed,Endurteil,Verdict final,Veredicto final,Окончательный приговор,,,,,
9860,尘中影,技能 Skills,/,卡厄斯的被动3,,Ashen Shade,,Confirmed,塵中の影,,Confirmed,먼지 속 그림자,,Confirmed,Aschgrauer Schatten,Ombre cendrée,Sombra Ceniza,Пепельная тень,,,,,
9861,疑点锁定,技能 Skills,/,卡厄斯的技能1,,Doubtmark,,Confirmed,疑惑の照準,,Revised,혐의점 포착,,Confirmed,Zweifelzeichen,Marque du doute,Marca de la duda,Метка сомнения,,,,,
9862,海潮漫延,技能 Skills,/,卡厄斯的技能star4,,Drowning Tide,,Confirmed,ミスト・タイド,,Revised,굽이치는 파도,,Confirmed,Ertränkende Flut,Marée engloutissante,Marea sofocante,Тонущий прилив,,,,,
9863,独见虚空,技能 Skills,/,卡厄斯的技能star5,,Voidgaze,,Confirmed,虚空の孤眼,,Confirmed,공허 응시,,Confirmed,Leereblick,Regard du Néant,Mirada abisal,Взор в бездну,,,,,
9864,伪原点,技能 Skills,/,卡厄斯的技能star6,,False Origin,,Confirmed,偽りの原点,,Confirmed,거짓 원점,,Confirmed,Falscher Ursprung,Fausse origine,Origen falso,Ложное происхождение,,,,,
9865,强袭,技能 Skills,/,卡厄斯的援护技,,Onslaught,,Confirmed,強襲,,Confirmed,강습,,Confirmed,Ansturm,Assaut,Arremetida,Натиск,,,,,
9866,未迟到的正义,技能 Skills,/,卡厄斯的被动1,,Justice in Time,,Revised,逃れられぬ正義,,Revised,늦지 않은 정의,,Confirmed,Gerechtigkeit in Zeit,Justice à point nommé,Justicia oportuna,Своевременное правосудие,,,,,
9867,重点关注！,技能 Skills,/,卡厄斯的被动2,,Prime Target,,Confirmed,特別警戒！,,Revised,집중 마크!,,Confirmed,Hauptziel,Cible prioritaire,Objetivo supremo,Главная цель,,,,,
9868,推论/事实,技能 Skills,/,卡厄斯的被动4,,Deduction / Fact,,Confirmed,推論/事実,,Confirmed,추론 / 진실,,Confirmed,Deduktion / Fakt,Déduction / Fait,Deducción / Hecho,Умозаключение / Факт,,,,,
9869,直觉/本能,技能 Skills,/,卡厄斯的极限闪避,,Intuition / Instinct,,Confirmed,直感/本能,,Confirmed,직감 / 본능,,Confirmed,Intuition / Instinkt,Intuition / Instinct,Intuición / Instinto,Интуиция / Инстинкт,,,,,
9870,灼见,技能 Skills,/,卡厄斯的技能star1,,Piercing Insight,,Confirmed,看破,,Revised,진실의 눈,,Confirmed,Durchdringende Einsicht,Perspicacité perçante,Perspicacia aguda,Пронзительное чутьё,,,,,
9871,罪名/恶行,技能 Skills,/,卡厄斯的技能star2,,Charge / Sin,,Confirmed,罪名/悪行,,Confirmed,죄명 / 악행,,Confirmed,Anklage / Sünde,Charge / Péché,Carga / Pecado,Обвинение / Грех,,,,,
9872,烟火,花火,/,卡厄斯的技能star3,,Emberflare,,Confirmed,花火,,Confirmed,폭죽,,Confirmed,Glutblitz,Brasier,Llama viva,Тлеющая вспышка,,,,,
9873,正义/正确,技能 Skills,/,卡厄斯的技能starExtra1,,Justice / Truth,,Confirmed,正義/正解,,Confirmed,정의 / 정확,,Confirmed,Gerechtigkeit / Wahrheit,Justice / Vérité,Justicia / Verdad,Правосудие / Истина,,,,,
9874,光明/白昼,技能 Skills,/,卡厄斯的技能starExtra2,,Light / Daybreak,,Confirmed,光明/白昼,,Confirmed,빛 / 낮,,Confirmed,Licht / Tagesanbruch,Lumière / Aube,Luz / Alba,Свет / Рассвет,,,,,
9875,新人呗主,任务/成就 Quest/Achievement,/,,,Rookie OP,,Confirmed,新人ベーグラー,,Confirmed,새싹 베이글러,,Confirmed,Anfänger-Beitragsersteller,OP débutant,Poder Principiante,Перспективный новичок,,,,,
9876,呗果红人,任务/成就 Quest/Achievement,/,,,Bagel Celebrity,,Confirmed,人気ベーグラー,,Confirmed,베이글 인플루언서,,Confirmed,Bagel-Promi,Célébrité de Bagel,Celebridad de Bagel,Знаменитость Bagel,,,,,
9877,意见领袖,任务/成就 Quest/Achievement,/,,,Influential User,,Confirmed,インフルエンサー,,Confirmed,오피니언 리더,,Confirmed,Einflussreicher Nutzer,Utilisateur influent,Adoptante influyente,Влиятельный пользователь,,,,,
9878,海特洛地下拳王,任务/成就 Quest/Achievement,/,,,Hethereau Brawler King,,Confirmed,地下の拳王,,Confirmed,헤테로 뒷세계 주먹왕,,Confirmed,Hethereau-Kampfkönig,Roi de la castagne d’Hethereau,Monarca del Combate de Hethereau,Король драчунов Этеро,,,,,
9879,拘留所来了新的老大,任务/成就 Quest/Achievement,/,,,New Boss in Detention,,Confirmed,拘置所のニューボス,,Revised,이 구치소는 내가 접수한다,,Confirmed,Neuer Boss in Haft,Nouveau boss en détention,Nuevo jefe en el Centro de detención,Новый босс в изоляторе,,,,,
9880,抵御风暴,任务/成就 Quest/Achievement,/,,,Stormwall,,Confirmed,嵐に抵抗する者,,Confirmed,폭풍에 맞서,,Confirmed,Sturmmauer,Mur de tempête,Muralla tormentosa,Штормовая стена,,,,,
